Shader Name,Complexity Score,Passes,Variants,Instructions Cost,Texture Samples,Texture Memory (MB),Total GameObjects,Is Transparent
"Shader Graphs/Atlas_Texture",637,10,1,0,0,1.74,22,False
"Shader Graphs/Uber_Shader",633,10,1,2,0,0.01,46,False
"Universal Render Pipeline/Lit",570,9,1,0,0,0.00,1,False
"Shader Graphs/Gate Wall",547,7,1,64,0,0.36,3,False
"Shader Graphs/AlphaGradient",490,6,1,0,0,0.00,9,True
"Shader Graphs/Particle_Dither",468,7,1,12,0,0.00,5,False
"Shader Graphs/Portal",467,7,1,4,0,2.71,1,False
"TextMeshPro/Distance Field",330,1,1,92,0,0.50,1,True
"TextMeshPro/Mobile/Distance Field",251,1,1,35,0,2.00,4,True
"Mobile/Particles/Alpha Blended",233,1,1,0,0,10.71,3,True
"Mobile/Particles/Additive",222,1,2,0,0,0.40,12,True
"UI/Default",190,1,1,0,0,0.00,21,True
